pronunciation	standard
엘리베이터에 가두기만 우러그로 나올라꼬 하지 말고 비상벨을 눌르러서 도움을 청하시소	엘리베이터에 갇히면 억지로 나오려고 하지 말고 비상벨을 눌르러서 도움을 청하세요
스님이 시주하러 오면 마이는 못 드려도 쌀을 쪼매쓱 담아드리고 그랜니더	스님이 시주하러 오면 많이는 못 드려도 쌀을 약간 담아드리고 그러죠
일을 잘할 수 이쓰만 지가 맡아서 하든지 아이믄 당신이 노가리는 하지 말아야지요.	일을 잘할 수 있으면 자기가 맡아서 하든지 아니면 당신이 잔소리는 하지 말아야지요.
비틀로 옷을 만들다가 입으셨다고 캤는디 옷낸거는 과정을 알려주실람니까	베틀로 옷을 만들다가 입으셨다고 했는데 옷만드는 과정을 알려주시겠어요
우리 며느리는 농사 일을 잘 못해도 청소 하나는 정강시럽꾸로 잘 하니더	우리 며느리는 농사 일을 잘 못해도 청소 하나는 정갈하게 잘 합니다
점심 때 돌잔치 가가 어찌노 마이 무것는지 배 불러서 저녁에 못 먹겠어요	점심 때 돌잔치 가서 어찌나 많이 먹었는지 배 불러서 저녁에 못 먹겠어요
츠메는 형한테 화가 마이 나썯는디 이야기를 듣다 보니께나 이해가 되더라이고요	처음에는 형한테 화가 많이 났었는데 이야기를 듣다 보니까 이해가 되더라고요
삼비는 하루 저녁이면 마이 짜는디 명주는 촘촘해가 암만 짜도 마이 못 짜요	삼베는 하루 저녁이면 많이 짜는데 명주는 촘촘해가 암만 짜도 많이 못 짜요
가스레인지에 불 켜 난는 걸 이저뿌려서 음식을 마카 태울 뻔핸니다	가스레인지에 불 켜 놓은 걸 잊어버려서 음식을 모두 태울 뻔했습니다
오랫동안 한 동네에서 살았던 할마인데 돌아가시니까 내 매미 아프네	오랫동안 한 동네에서 살았던 할머니인데 돌아가시니까 내 마음이 아프네
혈압약은 시간을 마춰가 챙겨 드셔야지 안 그러면 효과가 엄니데	혈압약은 시간을 맞춰서 챙겨 드셔야지 안 그러면 효과가 없습니다
집에 돌아와 보이께는 문이 열려 있고 뼈다귀에 여 놓은 돈이 전부 업써젼니더	집에 돌아와 보니까 문이 열려 있고 뼈다귀에 넣어 놓은 돈이 전부 없어졌어요
아들 오늘 중요한 시험 보이꺼나 이 생엿하고 찹쌀떡 묵꼬 힘내서 시험 잘 봐래이	아들 오늘 중요한 시험 보니까 이 생엿하고 찹쌀떡 먹고 힘내서 시험 잘 봐
옛날부터 조상 꿈이나 대지꿈 꾸만 집에 돈 두론다고 조아해찌로	옛날부터 조상 꿈이나 돼지꿈 꾸면 집에 돈 들어온다고 좋아했지요
그우레 먹을 채소나 과일 같은 것은 어데 보관을 핻씀니꺼	겨울에 먹을 채소나 과일 같은 것은 어디에 보관을 했습니까
친정 동네하고 이 동네하고 차리 지낼 때 상 채리는 건 뭐가 다름니껴	친정 동네하고 이 동네하고 차례 지낼 때 상 차리는 건 뭐가 다릅니까
어끼가 뻐근한다 하비 어름뜸질 쫌 하구로 냉장고에 얼음 쫌 꺼내드리시오	어깨가 뻐근한데 하비 얼음찜질 쫌 하게 냉장고에 얼음 쫌 꺼내드리시오
바드를 계속 관리해야지 안 그러코 금새 잡초가 자래고 엉망이네요	마당을 계속 관리해야지 안 그러면 금새 잡초가 자라고 엉망이돼요
옛날에는 무글 것이 어 업쓰니께요 겨울에 고두름도 마딛따고 따 먹고 그랬지요	옛날에는 먹을 것이 어 없으니까 겨울에 고드름도 맛있다고 따 먹고 그랬지요
지사를 안 모실 것 가트믄 모르지마는 지사를 모실 것 가트믄 정성을 들어야 됩니	제사를  안 모실 것 같으면  모르지만  제사를  모실 것 같으면  정성을 들어야 됩니다
바띠 별로 크지도 않으시니까 응 까배추보다는 상추 같은 걸 숭구는 게 좋 조켇군니다	밭이 별로 크지도 않으시니까 응 양배추보다는 상추 같은 걸 심는 게 좋 좋겠습니다
엔나레는 혼재 김장을 했는 핸는디 요즘은 힘들기가 동네 사람들하고 거치 험니다	옛날에는 혼자 김장을 했는 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다
산에 가서 조금만 땡겨 보만 지팽이 만들기 좋은 나무가 천지빼까리라	산에 가서 조금만 다녀 보면 지팽이 만들기 좋은 나무가 아주 많지요
다리도 아프고 날이 뜨거워지길래 저기 거지랑이에서 잠시 시어따가 갑시다	다리도 아프고 날이 뜨거워지길래 저기 그늘에서 잠시 쉬었다가 갑시다
옛날에는 특별한 간식이 없었기에 옥수깽이나 감자 같은 걸 먹고 지냈더니	옛날에는 특별한 간식이 없었기에 옥수수나 감자 같은 걸 먹고 지냈더니
둥가지로 쓸 나무는 쪼갈리기 저쪽 담장 밑에 쌓아 두만 뎀니더	장작으로 쓸 나무는 쪼개서 저쪽 담장 밑에 쌓아 두면 됩니다
여기까정 오시리라 욕 받는디 시원한 냉수처럼 한 잔 드시오	여기 까지 오시느라 고생 봤는데 시원한 냉수처럼 한 잔 드시오
지진이 일 일라면 어떤 책을 책상 밑으로 들어가 멈출 때가정 기다려야 함니데이	지진이 일 일어나면 어떤 책을 책상 밑으로 들어가 멈출 때까지 기다려야 합니다
오새 날씨가 가물어서 농새도 몬 짓고 계속 집에만 이쓰니끄네 정말 답답해	요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까 정말 답답해
오랜만에 가족끼리 외식 한번 하자꼬 하는디 그것도 못 하면 우야꼬요	오랜만에 가족끼리 외식 한번 하자고 하는데 그것도 못 하면 어떡해요
새옷 입으시길래 사람이 달라진는디 전부터 내가 옷 좀 입으라고 안 하더나	새옷 입으시길래 사람이 달라졌는데 전부터 내가 옷 좀 입으라고 하지 않았니
처음 시집 왔을 때 생선국을 보고 이거 비렁내가 나가 우애 먹을지 걱정됐으니까	처음 시집 왔을 때 생선국을 보고 이거 비린내가 나서 어떻게 먹을지 걱정됐으니까
밀가미 너무 새그러워져서 못 묻껫는디 냉장고에 다른 과일 있으면 좀 내올래	귤이 너무 셔서 못먹겠는데 냉장고에 다른 과일 있으면 좀 가져올래
수술비가 한두 푼이 아닌디 갑째기 돈 이바구를 하만 어쩌라는 마리고	수술비가 한두 푼이 아닌데 갑자기 돈 얘기를 하면 어쩌라는 말이냐
추석 때 차러 지내면서 조상한테 감사하다꼬 인사를 잘 해야  텐데	추석 때 차례 지내면서 조상한테 감사하다꼬 인사를 잘 해야  된다
수박은 큰 게 마디따꼬 하는데 하는디 차매는 작은 게 마디따꼬 근고	수박은 큰 게 맛있다고 하는데 하는데 참외는 작은 게 맛있다고 그러나
덩드리야 살 미치 다 벗겨졌는디 연고를 바르기거나 내 희양 가부로 금방 끄러앉았네	등에 살 결이 다 벗겨 졌는데 연고를 바르거나 내 하얀 가루로 금방 가라앉았네
시아버지께서 옷 차려입고 나가시면 사람들이 가다쟁이라고 말이 말씀하시더니	시아버지께서 옷 차려입고 나가시면 사람들이 멋쟁이라고 말이 말씀하시더니
애넘드리 살을 다 빼끄러 가 뻐리지 업쌔기예 만날 꽁당보리밥빠께 몬 무걷찌요	왜놈들이 쌀을 다 뺏어 가 버려서 없으니까 매일 꽁보리밥밖에 못 먹었지요
채독에 걸리믄 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 버린다	채독에 걸리면 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 버린다
대지머리 갖다 놓고 굿만 굿판 벌리 벌리만 동네 사람들 쭉 외가 기겡이도 하고 그래씀데	돼지머리 갖다 놓고 굿만 굿판 벌리 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬습니다
너무 무시 구데이가 어쩐지 아는 사람들은 다른 집 무시를 빼가지로 해찌로	남의 무 구덩이가 어쩐지 아는 사람들은 다른 집 무를 빼가지로 했지
배미에 물리만 병원에 가야지 된장 같은 거 마음대로 바르면 큰일 납니	뱀에 물리면 병원에 가야지 된장 같은 거 마음대로 바르면 큰일 납니다
평생을 농새만 지으이끄네 허리가 구워진 구버가 인자는 뚝바리 그를 수가 업따네	평생을 농사만  지으니까  허리가 구워진 굽어서  이제는  똑바로  걸을  수가 없어요
닭을 달구통에 넣어두지 않으면 밤에 산짐승이 내려와가 물고 가버린다	닭을 닭 장에 넣어두지 않으면 밤에 산짐승이 내려와서 물고 가버린다
시간을 우예 짰는지 그 과정을 한번 좀 말해 주십니까	시간을 어떻게 짰는지 그 과정을 한번 좀 말해 주십니까
콘센트에 코드를 너무 마 많이 꼬브면 불이 날 수이 이꺼네에 정말 위험함 함미데	콘센트에 코드를 너무 마 많이 꽂으면 불이 날 수도 있으니까 정말 위험함 합니다
자슥들 땔마네 열심히 사랐는지 인자 자슥드리 이리꾸루 날 챈거주기기에 고맙지로	자식들  때문에  열심히 살았는데  이제  자식들이  이래  날 챙겨주니까  고맙지요
태풍 때마네 바람이 셰게 부이글래 산사태가 날까 봐 잠을 한숨도 못 잔다네	태풍 때문에 바람이 세게 부니까 산사태가 날까 봐 잠을 한숨도 못 잔다네
동네에서 무신 사고로 생기만 마을 사람들이 굳째이 불라가 굿하고 그래떠니	동네에서 무슨 사고로 생기면 마을 사람들이 무당 불러서 굿하고 그랬어요
감기약 먹고 자부러울 때는 사고 날 수 이쓸꺼네 깽운기 몰지 마시소	감기약 먹고 졸릴 때는 사고 날 수 있으니까 경운기 몰지 마세요
남자들은 농악도 농악도 하고 씨름도 하고 여자들은 강강술래 하면서 놀았지요	남자들은 농악도 농악도 하고 씨름도 하고 여자들은 강강술래 하면서 놀았지요
날씨가 좋았기에 농새도 잘 됐고 밭떼기로 팔고 하니꺼네 기분 조터래이	날씨가 좋았기에 농사도 잘 됐고 밭떼기로 팔고 하니까 기분 좋더라
요새 요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 일가뿌래서 해서 큰일입니다	요새 요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어버려서 해서 큰일입니다
마을 모숨구리는 날에는 사람들이 같이 이게저게 다니민서 품앗이를 합니다	마을 모심는  날에는 사람들이 같이 여기저기  다니면서 품앗이를 합니다
상랑하만 주인하고 일꾼들이 음식도 농갈라 묵고 술도 마시고 그랟니더	상량하면 주인하고 일꾼들이 음식도 나눠 먹고 술도 마시고 그랬습니다
우리 어무니는 솜씨가 조아가 옷도 잘 맹길고 음식도 맏깔나구로 해씀니뎌	우리 어머니는 솜씨가 좋아서 옷도 잘 만들고 음식도 맛깔나게 했습니다
윤디를 화로에 올려놓고 뜨겁구로 달카가 윤디지를 하지로	인두를 화로에 올려놓고 뜨겁게 달궈서 인두를 해요
지금 얼른 밥상부터 차릴 테니까 배가 꼬그러드러라도 조금만 참으시소	지금 얼른 밥상부터 차릴 테니까 배가 고프더라도 조금만 참으세요
소는 트레기도 까만 것도 있고 빨간 것도 있는데 그래도 누런 게 제일 많지요	소는 털도 까만 것도 있고 빨간 것도 있는데 그래도 누런 게 제일 많지요
아버지께서 늦게 가 내일까지 안 들어오면 얼미애가 불 켜놓고 밤새 기다리고 그래더니	아버지께서 늦게 가 내일까지 안 들어오면 허전해서 불 켜놓고 밤새 기다리고 그랬습니다
날이 칩고 손도 시 시르지만 그캐도 우리 이리꺼네 벨로 피곤한 것도 모르겠다	날이 춥고 손도 시 시르지만 그래도 우리 일이니까 별로 피곤한 것도 모르겠다
올해는 날씨도 좋았고 비도 적당하고로 와가 농새 밭농새가 제일 정말 잘 된 편이라	올해는 날씨도 좋았고 비도 적당하게 와서 농사 밭농사가 제일 정말 잘 된 편이야
자식들 서울에서 직장 댕기기 바빠가 연락 은 잘 몬해도 잘 있지 않겠노	자식들 서울에서 직장 다니기 바빠서 연락 은 잘 못해도 잘 있지 않을까
알라가 놀이공원에 놀이공원에 가자꼬 저렇게 짭치는디 바뻐도 한 번은 가봅씨더	애가 놀이공원에 놀이공원에 가자고 저렇게 조르는데 바뻐도 한 번은 가봅시다
여유가 있는 사람들은 개아집 지을 때 보통 몇 몇 칸짜리 집을 지을까요	여유가 있는 사람들은 기와집 지을 때 보통 몇 몇 칸짜리 집을 지을까요
일이 힘들어도 돈 벌기 손주들 용돈을 줄 수 이쓰니께 조치로	일이 힘들어도 돈 벌기 손주들 용돈을 줄 수 있으니 좋지요
이 구족신은 오 년이 지내니 끼네 굽이 다 달아가 인자는 내 버려야 되겠다	이 구두는 오 년이 지내니 까 굽이 다 달아가 이제는 내 버려야 되겠다
날이 더우만 소곰을 쪼개 옇코 추우만 마이 옇코 그래야 맛이 제대로 납니더	날이 더우면 소금을 조금 넣고 추우면 많이 넣고 그래야 맛이 제대로 납니다
나물 무칠 때는 간을 간가리무리 하구로 맞춰야지 안 그라면 쓴 맛이 나는데	나물 무칠 때는 간을 간간하게 하도록 맞춰야지 안 그러면 쓴 맛이 나는데
담장은 납딱칸 돌삐를 가지고 쭉 이가 댕기기도 하는데 다 그렇지 않더라	담장은 납작한  돌맹이를  가지고 쭉 이어  만들기도  하는데 다 그렇지 않더라
여개는 전에 살던 데보다 시설도 좋고 애들 핵고도 정말 가짜기에 조았네	여기는 전에 살던 데보다 시설도 좋고 애들 학교도 정말 가까워서 좋네
휴가 때만 데만 사람들이 여개 놀러와가 씨래기를 내삐리끼에 언선시럽다	휴가 때만 되면 사람들이 여기에 놀러와서 쓰레기를 버리니까 지긋지긋하다
오늘 비올 것 같 같은데 우산 챙겨가고 어 이자뿌리지 말고 단디 챙겨 온나	오늘 비올 것 같 같은데 우산 챙겨가고 어 잊어버리지 말고 잘 챙겨 와라
여개는 촌구수기라 병원에 갈라꼬 하만 차를 타고 한참을 나가야 덴대네	여기는 촌구석이라서 병원에 가려고 하면 차를 타고 한참을 나가야 됩니다
가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 올라꼬 해요	가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요
삼신할매한테 자슥들 공부 잘하고 가족들 건강하게 해달라꼬 빌었지요	삼신할매한테 자식들 공부 잘하고 가족들 건강하게 해달라고 빌었지요
알라가 어제부터 열이 안 떨어진다 이라다 킬라는 게 애인지 모리켓다	애가 어제부터 열이 안 떨어진다 이러다 큰일나는 게 아닌지 모르겠다
코피가 안 뭉치고 이러쿠럼 계속 나면 병원에 가봐야 하는 거 아닌고	코피가 안 뭉치고 이렇게 계속 나면 병원에 가봐야 하는 거 아닌가요
요새는 예물도 마이 하지만 옛날에 우리 결혼 때는 생각도 못했네	요새는 예물도 많이 하지만 옛날에 우리 결혼 때는 생각도 못했네
겨울에는 주적소만에 소캐 뭉치를 넣고 꼬매가 입었더니	겨울에는 바지 저고리만 솜 뭉치를 넣고 꿰매서 입었더니
지금 안개도 있고 파도가 없다가 배가 만개 댕긴다고 하더니	지금 안개도 있고 파도가 없다가 배가 전부 다니다고 하더니
이웃이 쫌 시끄러워도 사이가 불편해질까 봐 꼬마 참고 살았더라	이웃이 좀 시끄러워도 사이가 불편해질까 봐 그냥 참고 살았다
지난주에 상처도 숨카 놓았는데 사월 초쯤 무글 수 있을 겁니다	지난주에 상추도 심어 놓았는데 사월 초쯤 먹을 수 있을 겁니다
여개는 시골이라 교통이 좀 불편한다 공기도 깨끗하고 깽치가 참 조안네	여기는 시골이라 교통이 좀 불편한데 공기도 깨끗하고 경치가 참 좋아요
시래기를 새끼기에 엉켜서 말려 놨다가 난중에 국 끼릴 때 너을까 무그면 맛있겠네	시래기를 새끼줄에 묶어서 말려 놨다가 나중에 국 끓일 때 넣어서 먹으면 맛있겠네
에 가지락떡하고 술을 차려 놓았기에 편하게 들으시면 말씀 나누소	에 가래떡하고 술을 차려 놓았기에 편하게 들으시면 말씀 나누세요
빨리 무그면 과식하게 될길래 배고파도 천천히 드시는 기 좋다네요	빨리 먹으면 과식하게 되길래 배고파도 천천히 드시는 게 좋다네요
비가 많이 오면 축대부터 살피고 위험하다 시프만 버뜩 집에서 나와야 합니다	비가 많이 오면 축대부터 살피고 위험하다 싶으면 얼른 집에서 나와야 합니다
운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 없었네 없었네	운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 없었네 없었네
두릅은 살째기 데쳐가 문쳐 묵기도 하고 꼬치장에 찍어 묵기도 했었네	두릅은 살짝 데쳐서 무쳐 먹기도 하고 고추장에 찍어 먹기도 했었네
어릴 때 학교는 못 가고 풀 비러 가고 소 풀 미기러 다니고 그랬더니	어릴 때 학교는 못 가고 풀 베러 가고 소 풀 먹이러 다니고 그랬더니
여름철에는 모든 음식을 잘 익혀 먹고 물도 꼭 끓인 것만 드려야 테네	여름철에는 모든 음식을 잘 익혀 먹고 물도 꼭 끓인 것만 드려야 되네
모기향을 피우만 화재 위험이 이끼네 모구장을 쳐 놓고 주무시는 게 좋네	모기향을 피우면 화재 위험이 있으니까 모기장을 쳐 놓고 주무시는 게 좋네
에르바트에 가두기만 우르르 나올러꼬 하지 말고 비상벨을 누질러서 도움을 청하소	엘리베이터에 갇히면 우르르 나오려고 하지 말고 비상벨을 눌러서 도움을 청하세요
스님이 시주 하러 오마 마미는 많이는 못 드려도 살을 쪽지쭉 담아 드리고 그랬더니	스님이 시주 하러 오면 마미는 많이는 못 드려도 쌀을 조금 담아 드리고 그랬더니
일을 잘할 수 있지만 제가 맡아서 하든지 아니든 당신이 노가리는 하지 말아야지요	일을 잘할 수 있지만 제가 맡아서 하든지 아니면  당신이 잔소리는  하지 말아야지요
비틀로 옷을 만드라가 입으니까 갠 좋겠는데 옷 맹크는 과정을 알레주십니까	베틀로 옷을 만들어서 입으니까 갠 좋겠는데 옷 만드는 과정을 말씀해주십니까
우리 메누리는 농새 일을 잘 몬 해도 청소 하나는 정깡시롭끼로 잘하네	우리 며느리는 농사 일을 잘 못 해도 청소 하나는 정갈스럽게 잘합니다
점심 때 돌잔치 가가 어쩐지 많이 무언는지 배불러서 저녁을 몬 무껜네	점심 때 돌잔치 가서 얼마나 많이 먹었는지 배불러서 저녁을 못 먹겠네
쯔메는 형한테 화가 많이 났 났는데 이야기를 듣다 보니끼예 이해가 댄다그네	처음에는 형한테 화가 많이 났 났는데 이야기를 듣다 보니까 이해가 되더라
삼비는 하루 저녁이만 많이 짜는디 멩주는 꼼꼼해가 암만 짜도 많이 몬 짜네	삼베는 하루 저녁이면 많이 짜는데 명주는 꼼꼼해서 암만 짜도 많이 못 짜네
가스레인지에 불 켜놓은 걸 이자버려서 음식을 마카 태울 뻔 했다네	가스레인지에 불 켜놓은 걸 잊어버려서 음식을 모두 태울 뻔 했다네
오랫동안 한 동네에서 살았던 할마닌데 돌아가시거네 마음이 아프네	오랫동안 한 동네에서 살았던 할먼니인데 돌아가시니까 마음이 아프네
약은 시간을 맞추고 챙겨 드셔야지 안 그러면 효과가 업습니데이	약은 시간을 맞추고 챙겨 드셔야지 안 그러면 효과가 없습니다
집에 돌아와 보이길래 문이 열려 있고 뼈다지비에 넣어둔 돈이 전부 없어졌네	집에 돌아와 보이길래 문이 열려 있고 서랍에 넣어둔 돈이 전부 없어졌네
아들 오늘 중요한 시험 보이길래 이 생엿하고 찹쌀떡 무꼬 힘내서 시험 잘 봐야지	아들 오늘 중요한 시험 보니까 이 갱엿하고 찹쌀떡 먹고 힘내서 시험 잘 봐야지
엔날부터 조상꿈이나 대지꿈 꾸면 집에 돈 드러온다꼬 좋아했지요	옛날부터 조상꿈이나 돼지꿈 꾸면 집에 돈 들어온다고 좋아했지요
겨을에 먹을 채소나 과일 같은 것은 오래 보관을 핸슴니껴	겨을에 먹을 채소나 과일 같은 것은 오래 보관을 했습니까
아 친정 동네하고 이 동네하고 차리 지낼 때 생 채리는 건 뭐가 다름니꺼	아 친정 동네하고 이 동네하고 차례 지낼 때 생 차리는 건 뭐가 다릅니까
촌구석이라 젊은 사람은 함부로 없고 전부 노인들만 이쓰니까네 농새 짓기도 힘들어	촌구석이라 젊은 사람은 함부로 없고 전부 노인들만 있으니까 농사 짓기도 힘들어
소도 사람 매치로 잘 미기야 근육도 붓고 힘도 생겨서 일을 잘 하지로	소도 사람 처럼 잘 먹어야 근육도 붓고 힘도 생겨서 일을 잘 하지요
옷가심을 짰을 때는 짰을 때는 미리 선을 끊어 놓아야 쪽바리 쪽바리 잘 잘 수 이써예	옷 가슴을 짰을 때는 짰을 때는 미리 선을 끊어 놓아야 똑 바로 똑 바로 잘 잘 수 있어요
올해는 배치 농사를 망구가 김장을 할라믄 배치를 좀 사와가 담궈야 되겠네	올해는 배추 농사를 망쳐서 김장을 하려면 배추를 좀 사와서 담가야 되겠네
우리 며누리는 어 자석뜰 잘 챙기고 차캐가 내가 얼마나 사랑하고 사랑을 하고 어 댕기다고	우리 며느리는 어 자식들 잘 챙기고 착해서 내가 얼마나 사랑하고 사랑을 하고 어 다닌다고
배치 한 포기 키우는데도 이러쿠럼 힘든디 아무이는 우예 평생 농새를 짓고 살았을까	배추  한 포기 키우는데도 이렇게  힘든데 어머니는  어떻게  평생 농사를  짓고 살았을까
요새는 시워리 좋다만 우리 클 때는 하고 싶은 것도 못하고 골무리 많았어	요새는 세월이 좋다만 우리 클 때는 하고 싶은 것도 못하고 고생이 많았어
전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 못했습니다	전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 못했습니다
어무이 지금 차 타고 자 나갈라꼬 하는디 혹시 읍내로 나가시만 태워 드릴게예	어머니 지금 차 타고 장에 나가려고 하는데 혹시 읍내로 나가시면 태워 드릴게요
어깨가 뻐근하디 얼음뜸질 좀 하고로 냉장고에 얼음 좀 꺼내 두레이	어깨가 뻐근하니 얼음찜질 좀 하게 냉장고에 얼음 좀 꺼내 둬라
마다를 계속 관리해야지 안 그라모 금새 잡초가 자래가 엉망이 돼요	마당을 계속 관리해야지 안 그러면 금새 잡초가 자라서 엉망이 돼요
옛날에는 무거운 것이 업쓰이꺼네 겨울에 뭐 고드름도 만이따꼬 다 무꼬 그래찌로	옛날에는 먹은 것이 없으니까 겨울에 뭐 고드름도 맛있다고 다 먹고 그랬지
지사를 안 모실것 거트마 모마리리지만 지사를 모실 것 가트마 정성을 들어야 데니더	제사를  안 모실것 같으면  모르지만 제사를 모실 것 같으면  정성을 들어야 됩니다
밭이 별로 크지도 아느이꺼네 배추보다는 상추 같은 걸 숨구는 게 조커니데	밭이 별로 크지도 않으니까 배추보다는 상추 같은 걸 심는 게 좋다
옛날에는 혼재 짐장을 핸는디 요즘은 힘드러가 동네 사람들하고 거티 함니더	옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다
산에 가서 조금만 댕겨보면 아 지패이 만들기 좋은 나무가 천지삐까리시데	산에 가서 조금만 다녀보면 아 지팡이 만들기 좋은 나무가 매우 많습니다
다리도 아프고 날이 뜨거우꺼네 저기에 그렁지에서 잠시 쉬었다고 어 갑씨더	다리도 아프고 날이 뜨거우니까 저기에 그늘에서 잠시 쉬었다고 어 갑시다
도로깨가 깨나 어 무거워가 허리 다칠 수 이쓰니꺼네 타작 털 때 사살 아 두드리래예	도리깨가 꽤나 어 무거워서 허리 다칠 수 있으니까 타작 할 때 살살 아 두드려
옛날에는 특별한 간식이 업쓰니꺼네 옥수갱이나 잠자 같은 거튼 걸 먹고 그랟떠니	옛날에는 특별한 간식이 없으니까 옥수수나 감자 같은 같은 걸 먹고 그랬어요
둥지로 쓸 나무는 또 갈라가 저쪽 담장 밑에 싸아두만 됨니꺼	장작으로 쓸 나무는 또 갈라서 저쪽 담장 밑에 쌓아두면 됩니까
여기까정 오시느라 욕빤는디 시원한 냉수부텀 한 잔 드시소	여기까지 오시느라 수고했는데 시원한 냉수부터 한 잔 드세요
지진이 일어만 버뜩 책상 밑으로 들어가가 멈출 때까지 지정달려야 합니데이	지진이 일어만 얼른 책상 밑으로 들어가서 멈출 때까지 지정달려야 합니다
오새 날씨가 가물어서 농새도 못 짓고 계속 집에만 이쓰이꺼네 정말 답담네	요새  날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까  정말 답답하네
오랜만에 가족끼리 외식 한번 하자고 하는디 그것도 모타만 우예능고	오랜만에 가족끼리 외식 한번 하자고 하는데 그것도 못하면 어떡해요
새 옷 이브니꺼네 같이 사람이 달라 비는디 전부텀 내가 옷 좀 사다 입으라고 안 하드나	새 옷 입으니까 같이 사람이 달라 보이는데 전부터 내가 옷 좀 사다 입으라고 안 했니
처음 시접 왔을 때 생선국을 보고 이거 어 비렁내가 나가 우예 무을지 걱쩡핻해니더	처음 시집 왔을 때 생선국을 보고 이거 어 비린내가 나서 어떻게 먹을지 걱정했습니다
밀감이 너무 새구라워서 못 먹겐는디 냉장고에 다른 가일 이쓰만 좀 내 올래	밀감이 너무 셔서 못 먹겠는데 냉장고에 다른 과일 있으면 좀 내 올래
오랜만에 조캐를 보이꺼네 못 알아볼 정도로 훌쩍 커 삐리가 깜짹 놀랃떼이	오랜만에 조카를 보니까 못 알아볼 정도로 훌쩍 커 버려서 깜짝 놀랐어
수술비가 한두 푼이 아닌데 갑재기 돈 이바구를 하만 어쩌라는 말이고	수술비가 한두 푼이 아닌데 갑자기 돈 이야기를 하면 어쩌라는 말이야
추식 때 차례 지내민서 조상한테 감사하다꼬 인사를 잘 해야 된데이	추석 때 차례 지내면서 조상한테 감사하다고 인사를 잘 해야 된다
수박은 크게 맛있다고 하는디 참외는 작은 게 맛있다고 권고	수박은 크게 맛있다고 하는데 참외는 작은 게 맛있다고 하던가요
어 등더리에 살믿치 다 벋꺼젿썬는디 연고를 바르니꺼네 어 희한하구로 금방 가라앉네요	어 등에 피부가 다 벗겨졌었는데 연고를 바르니까 어 희한하게 금방 가라앉네요
나이가 드이꺼네 아 귀끼가 어두워져서 사람들이 무신 말을 해도 잘 못 아라듣겐니더	나이가 드니까 아 귀가 어두워져서 사람들이 무슨 말을 해도 잘 못 알아듣겠습니다
시아바님께 께서 옷 차려 입고 나가시만 사람들이 에 가다제이라고 많이 말슴하셛니더	시아버님께 께서 옷 차려 입고 나가시면 사람들이 에 멋쟁이라고 많이 말씀하셨습니다
외 놈들이 쌀을 다 삐끄러다삐지죠 없어 니꺼네 만날 꼬망보리밥밖에 못 묵어지로	외 놈들이 쌀을 다 빼앗아 가서 없어 없어서 매날 꽁보리밥밖에 못 먹었지요
채독에 걸레만 얼고리 노랗게 돼가지고 사람이 기운이 하나도 없어 빔니더	채독에 걸리면  얼굴이 노랗게 돼가지고 사람이 기운이 하나도 없어 보입니다
배미에 물리만 아 병원에 가야지 된장 겉을 아 거 마음대로 바르만 큰일 납니더	뱀에 물리면 아 병원에 가야지 된장 같은 아 거 마음대로 바르면 큰일 납니다
평생을 농새만 지어이꺼네 허리가 구버가 인자는 똑바리 걸을 수가 업니더	평생을 농사만 지으니까 허리가 굽어서 이제는 똑바로 걸을 수가 없습니다
닭을 달구통에 넣어 어 두지 아느만 밤에 산짐승이 내려와가 물고 가 버림니더	닭을 닭장에 넣어 어 두지 않으면 밤에 산짐승이 내려와서 물고 가 버립니다
비단을 우예 짜는지 그 과정을 한번 쯤 생각해 보실남니꺼	비단을 어떻게 짜는지 그 과정을 한번 쯤 생각해 보시겠어요
콘센트에 코드를 너무 많이 꼽아 꼬브만 불이 날 수 이쓰니이꺼네 정말 위험함니데이	콘센트에 코드를 너무 많이 꼽아 꽂으면 불이 날 수 있으니까 정말 위험합니다
자슥들 때문에 열심히 사란는디 인자 자식들이 이러쿠럼 날 챙겨주꺼네 고맙지로	자식들 때문에 열심히 살았는데 이제 자식들이 이래 날 챙겨주니까 고맙지
태풍 밑에 바람이 바래미 시게 부니꺼네 알 산사태가 날까봐 아 짐을 잠을 한숨도 못 자니더	태풍 밑에 바람이 바람이 세게 부니까 알 산사태가 날까봐 아 짐을 잠을 한숨도 못 잤습니다
